original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
Motherless Brooklyn,"Crime, Drama, Mystery",144,USA,"English, French",Edward Norton,Warner Bros. Pictures,"In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend.",6.8,34759,319,178
Alita: Battle Angel,"Action, Adventure, Sci-Fi",122,"USA, Japan, Canada","English, Spanish",Robert Rodriguez,Twentieth Century Fox,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",7.3,217183,2757,368
Danger Close: The Battle of Long Tan,"Action, Drama, War",118,Australia,English,Kriv Stenders,Deeper Water,"In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",6.8,8131,204,31
Shazam!,"Action, Adventure, Comedy",132,"USA, Canada","English, Spanish",David F. Sandberg,Warner Bros.,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7.1,240858,2009,379
The Last Full Measure,"Drama, War",116,USA,English,Todd Robinson,Foresight Unlimited,"Thirty-four years after his death, Airman William H. Pitsenbarger, Jr. (""Pits"") is awarded the nation's highest military honor, for his actions on the battlefield.",6.7,5449,163,44
The Dirt,"Biography, Comedy, Drama",107,USA,English,Jeff Tremaine,10th Street Entertainment,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",7,37295,553,72
Dirt Music,"Crime, Drama, Romance",105,"Australia, UK",English,Gregor Jordan,Wildgaze Films,The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in,5.2,204,5,15
Pet Sematary,"Horror, Mystery, Thriller",101,"USA, Canada",English,"Kevin Kölsch, Dennis Widmyer",Paramount Pictures,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",5.7,76819,1169,326
Bolden,Drama,108,USA,English,Dan Pritzker,King Bolden,"A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.",5.6,417,16,5
Road to Red,"Action, Adventure, Horror",120,"USA, Portugal",English,Tito da Costa,Worldwide Artists,A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.,4.2,472,8,1
Fantasy Island,"Action, Adventure, Fantasy",109,USA,English,Jeff Wadlow,Columbia Pictures,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9,26823,635,154
